train_losses,val_losses
0.02811262239139527,0.048837496285915376
0.001016953474249196,0.0006482223998482805
0.0005020304953274608,0.00040982892140501646
0.00036207994955821777,0.00033204352868173735
0.00028909502331589463,0.0003003386078954209
0.00024965251298146904,0.00023717665208911057
0.00022599008684243016,0.00022492119578435086
0.00020795078759694297,0.00020161853970523225
0.00019422688850228589,0.00019631691037738346
0.00018380621401294775,0.000184338126578019
0.00017509423962068832,0.00018145161712222033
0.0001672900711772745,0.00017389594174010563
0.00016081172270849493,0.00016596115433605154
0.00015521618160934303,0.00016425300586037339
0.00015002250258802088,0.00015701157415501076
0.0001457767024676323,0.0001568383623875852
0.00014151223269572803,0.0001541135556731897
0.0001382445549244294,0.00014039323313208297
0.00013497268899992194,0.00014450797027238876
0.0001318158205543732,0.00015183328615588835
0.00012869553950800765,0.00013750570873607648
0.00012595657421526267,0.0001397169950422831
0.0001243644445396494,0.0001565777225845668
0.00012193362319620792,0.00013821969832340255
0.00011925258113044401,0.00013536531590559753
0.00011749652956210775,0.0001301941615727992
0.00011544593587871714,0.00013257116997517006
0.00011334143658149696,0.00013583568854775514
0.00011138982200138344,0.00013029941525704634
0.00011005721012853609,0.00012168101536796894
0.00010751707000495299,0.0001229495593948086
0.00010615709419621271,0.00013025857423094566
0.00010476911626743459,0.00012672149702644674
0.00010316364902435089,0.00012260475446758209
0.00010248420910790446,0.00012786966098236736
0.00010064359214136858,0.00012309033155078942
6.898513814494072e-05,9.892829138712841e-05
6.612244665370599e-05,9.531250357220416e-05
6.508125706041756e-05,9.905325401201844e-05
6.432487618449886e-05,9.384934779601463e-05
6.377824107218112e-05,9.365734924361459e-05
6.249740818557621e-05,0.00010245309938836726
6.247463276458621e-05,9.037795128546714e-05
6.164625584592795e-05,9.148678078866214e-05
6.103359176424055e-05,9.176326919913118e-05
6.068544648451643e-05,8.972521788597806e-05
5.98537892123386e-05,9.591801759155351e-05
5.953971766082396e-05,9.361685894408584e-05
5.92477805871822e-05,9.076110776659335e-05
5.897629441631398e-05,9.184243337687804e-05
5.819729037493744e-05,9.085842116859568e-05
5.781540756451796e-05,9.091179807663139e-05
4.338573697024367e-05,8.374250790957013e-05
4.180095801165044e-05,8.147132661179057e-05
4.133413277920772e-05,8.350576155717135e-05
4.087158754900156e-05,8.1918593275077e-05
4.042759576340177e-05,8.244596618515788e-05
4.0079759348089284e-05,8.213749445772555e-05
3.9813289786725364e-05,8.105811131067458e-05
3.952572807958495e-05,8.171495469837828e-05
3.9344250201666e-05,8.154449647610454e-05
3.9007266593318494e-05,8.246787598104857e-05
3.891745734061988e-05,7.97502788251295e-05
3.8535469292683045e-05,8.125980364313e-05
3.846727183339499e-05,8.558670314096526e-05
3.823002614083998e-05,8.15106098377364e-05
3.7811547180837805e-05,8.109455236690701e-05
3.782939178654669e-05,8.229012727327063e-05
3.756758282498231e-05,8.029411548243662e-05
3.142915390646158e-05,7.91635912622478e-05
3.0776629069683624e-05,7.851697123266059e-05
3.0521447012432876e-05,7.824212342872488e-05
3.0180329113622066e-05,7.874426742079959e-05
3.004925561078744e-05,7.7950619767631e-05
2.989732131592791e-05,7.88894243939576e-05
2.9810452103676654e-05,7.74982057799316e-05
2.9618489315306762e-05,7.869003511531627e-05
2.9569428500483808e-05,7.892285891518987e-05
2.9332508698616948e-05,7.974333880132326e-05
2.9206608722262898e-05,7.757186877504136e-05
2.9113014610926256e-05,7.729175345885596e-05
2.897398545581018e-05,7.767098099132273e-05
2.883550171499701e-05,7.89788714032693e-05
2.8814288380521247e-05,7.744960955668648e-05
2.8592419973614597e-05,7.841693837835191e-05
2.8611299491723912e-05,7.960745046717784e-05
2.851352902976396e-05,7.793853131707874e-05
2.600844063005934e-05,7.691161307449511e-05
2.576326113408868e-05,7.653296097268322e-05
2.5616164952405596e-05,7.637969241972314e-05
2.5553846576252908e-05,7.596409970473906e-05
2.5441804262052755e-05,7.646161116949952e-05
2.5356398520323637e-05,7.572318406776321e-05
2.5289163993835247e-05,7.651081473466547e-05
2.523616141428647e-05,7.677448903859477e-05
2.5154825625262673e-05,7.682818841629341e-05
2.5088912091110614e-05,7.76501824430743e-05
2.5006707071667734e-05,7.734797549759605e-05
2.4892203649587826e-05,7.68616038386681e-05
2.390935602160971e-05,7.622429862314311e-05
2.379659917522622e-05,7.593302284893434e-05
2.3743556206376525e-05,7.613012224465638e-05
2.3708557301219117e-05,7.625520159985899e-05
