train_losses,val_losses
0.020526418927051208,0.010859625766611517
0.003001189044261459,0.002549461029637998
0.002414362709077519,0.002276076883392233
0.0021101759793270376,0.0019839206410369936
0.0017516671237161412,0.0016158399021412976
0.0012736650460265812,0.0010092234489632655
0.0008125438183778618,0.0006648680675509359
0.0006091643891086968,0.0005397553654514287
0.0005112190866247631,0.0004561681546555294
0.00044855706090862876,0.000454080764909459
0.0003972430510893372,0.0003932998151309036
0.00037087865068716024,0.00035178098282280724
0.0003399178939734038,0.00038488084169548457
0.0003119528565915869,0.00043020063099333386
0.0002990323382018735,0.00032113585225898583
0.00027633076378901763,0.00033627859059356566
0.0002647700728873441,0.0002849164902971746
0.0002532133060107105,0.0002972507418531946
0.00024077813539889864,0.0003573967706781433
0.00022837420312718152,0.0002997293541562742
0.00022386316062968813,0.00023407928635332296
0.00021108785339068816,0.0002883680082083145
0.0002019836744032635,0.00028727147721641
0.0002044107422439309,0.0002381242592353709
0.0001944839460117469,0.00022079623265623387
0.0001931994416447874,0.00024213176229034663
0.00017922768795928783,0.0002751602095941925
0.0001815938403635655,0.0003396368657113428
0.0001817967858974599,0.00021993095369750567
0.00016026539936587992,0.00039143894104192735
0.0001723976345945384,0.00017920389322670366
0.00015434285342096697,0.0002104685644799823
0.0001563469396503851,0.00022172674562345436
0.00015628200462718816,0.00018308115536255418
0.000147137255097415,0.00018157493837292604
0.0001447443528837866,0.0001819994711157805
0.0001412852320570179,0.0002081343572837146
8.151860589983211e-05,0.0001310370075081521
7.731561773596991e-05,0.00012323150309077562
7.499753965887725e-05,0.00013378552136117223
7.352756483593118e-05,0.0001249064790428115
7.1020240077358e-05,0.00011714975655209269
6.979180444755812e-05,0.00012568566654581464
6.978771117225481e-05,0.00011925715648038147
6.736573673152816e-05,0.00012736324029053483
6.516665983710597e-05,0.00011362312896192367
6.560598059029793e-05,0.00011585589713124727
6.498951970391514e-05,0.00010899565270300839
6.260435804276368e-05,0.00011650709503047855
6.24403626520668e-05,0.00010887398776379744
6.265437523877292e-05,0.00011853991662015921
5.9387999461908566e-05,0.00011087397391339312
5.926439808908529e-05,0.00012042411787613835
6.092062745023192e-05,0.0001116176481166711
5.916479341334249e-05,0.00010766250740539755
5.74884969816125e-05,0.00011179729596511823
5.767075322832118e-05,0.0001167205869922767
5.619750787377712e-05,0.00010912807640243516
5.684760042584971e-05,0.0001085452497831207
5.446903173129669e-05,0.00010691331576385813
5.498629507340945e-05,0.00010879334794849447
5.376859904558952e-05,0.00010833326828079597
5.456485847692505e-05,0.00010119499771836444
5.339236389576851e-05,0.00010444358663693014
5.187950250428936e-05,9.802000749216173e-05
5.3042739428581933e-05,0.00010715023572262843
5.240983109290417e-05,0.00010203366030940823
5.198400999423414e-05,9.923736926825357e-05
5.1009017637551446e-05,9.927096952181024e-05
5.2248379449975786e-05,0.00010536356559212073
5.2060099863655105e-05,9.81510581234222e-05
3.661393535864296e-05,9.055343693446934e-05
3.6020397223940756e-05,8.885074743246118e-05
3.5634749415087954e-05,9.016381917649728e-05
3.5135845790428114e-05,8.974452410365304e-05
3.482897542639222e-05,8.780165261181985e-05
3.459367624038177e-05,8.89100042627215e-05
3.431488752206232e-05,8.980840772723077e-05
3.402923156348782e-05,8.863999964136987e-05
3.3711334628867025e-05,8.848298314585433e-05
3.357979865925996e-05,8.593890977482782e-05
3.3209892648801576e-05,8.518453441499268e-05
3.316019170376548e-05,8.607227772527022e-05
3.2693135678940786e-05,8.805067428614387e-05
3.257389767362808e-05,8.601889678590682e-05
3.2457157872814733e-05,8.679896664889838e-05
3.2142434105623096e-05,8.60678004102874e-05
3.214211448818816e-05,8.743250760402407e-05
2.739506043482894e-05,8.239483097488832e-05
2.7224416532441912e-05,8.207833416096445e-05
2.6969537401603244e-05,8.151940091361936e-05
2.687510371418965e-05,8.243179888133643e-05
2.6784317486852607e-05,8.153975321597334e-05
2.6649563103600846e-05,8.164493465475915e-05
2.6455668835223703e-05,8.101398536501181e-05
2.640118713336122e-05,8.105345936927246e-05
2.626450544003971e-05,8.22921614574742e-05
2.6189012450361833e-05,8.146505211129151e-05
2.6077701120040207e-05,8.146119360533149e-05
2.6012051571221317e-05,8.10076962423168e-05
2.5909521484271532e-05,8.018468360416815e-05
2.581198407448931e-05,8.050440584591276e-05
2.567366091369315e-05,8.023263562127462e-05
2.5579503170507908e-05,8.079532444805938e-05
2.555103489874652e-05,8.245337668852344e-05
2.5397189082380725e-05,8.043180607724208e-05
