train_losses,val_losses
0.016081541330592315,0.03677054029662089
0.0019003712172624497,0.0010315743247217592
0.0005983326009541483,0.00035902334898584313
0.0003110095056299508,0.00027579690141838956
0.0002294062963394843,0.0002825648263594894
0.00019124575837410713,0.00019082641231575717
0.00017031277820597467,0.00016570052296068454
0.00015356748457002445,0.00013770218635059562
0.00014171289692968311,0.00011876194740872982
0.0001303611357470479,0.00014852428535925083
0.0001227178252152924,0.0001397737664154948
0.00011571316855464987,0.00011036600160905041
0.00011088505002771395,9.993441552594221e-05
0.00010641005553440168,0.00010534598700872795
0.00010166887021978274,0.00012213757484938427
9.813974905265003e-05,0.0001328321939924798
9.463449532860973e-05,0.00010278116448672442
9.188874318605676e-05,0.00010473399779199721
8.836003218858201e-05,9.818843837948044e-05
8.699097993556004e-05,9.378196252796932e-05
8.382367222222653e-05,0.00011984512196816817
8.107791770688937e-05,8.008103966112297e-05
7.852366354501058e-05,7.819342080855764e-05
7.807740801024604e-05,0.00012531578706756903
7.552914297991915e-05,0.0001079662100017962
7.351067195044061e-05,8.97049655963954e-05
7.130881457043537e-05,7.529938904669197e-05
7.063798110530501e-05,6.994033881766411e-05
6.747864629105928e-05,9.252330912392872e-05
6.847515295784086e-05,0.000124224461915144
6.437085770761515e-05,8.620144020128776e-05
6.389030446705031e-05,8.339263656703048e-05
6.17060359888915e-05,6.610227854289082e-05
6.177665490037929e-05,6.834913799973053e-05
6.0859857360973674e-05,6.550233071150848e-05
5.875024167428172e-05,7.465276166817423e-05
5.825415145046853e-05,6.469179831157053e-05
5.776856388147448e-05,7.588134198990855e-05
5.7744089248641756e-05,5.794065491387021e-05
5.535813491908929e-05,6.14165905037941e-05
5.5049088981391226e-05,5.6426207560469536e-05
5.436569555295114e-05,5.794667042702327e-05
5.438620990657759e-05,6.0863817140194197e-05
5.3379754409494833e-05,6.052388452665518e-05
5.0226914157262526e-05,6.93047177125787e-05
5.1010226304159786e-05,5.672032481092472e-05
4.991342150385889e-05,8.40178697016904e-05
3.052206138734256e-05,4.273332427172795e-05
2.851902995000559e-05,3.981053806928905e-05
2.733770953309416e-05,3.842097106194975e-05
2.7013917761000084e-05,5.852668250518513e-05
2.6522469800517812e-05,4.8753179261130915e-05
2.609634746103664e-05,4.472324186840662e-05
2.6602709531953936e-05,4.934753379726493e-05
2.5287486083063676e-05,3.821221265303207e-05
2.593992193045804e-05,4.067006890411276e-05
