Ux,Uy,Vx,omegaRES
0.4942632005832113,-0.2505192569524859,-0.8324325741134921,0
0.6174580997182437,-0.403637353404404,0.6751461930789684,0
0.35046325939254325,0.7523586516822985,-0.5577920428392187,-0.2913604348592748
-0.41717905782648074,0.8609012353493201,0.2912227612756679,0
0.7701828986468916,0.5410873804009471,0.3377021607907072,0
-0.7288815272532984,-0.1478311363785244,0.6684890981503987,0
0.3209900846576457,0.5478261535768216,0.7725618881414628,0
0.44192117848165896,-0.8931008319142818,-0.08412238729018252,0
0.34779830497313863,0.5857810388838657,-0.7320498026377377,-0.30351100498250855
0.9790571667830716,-0.17396163852085034,-0.1057563827570018,0
-0.00024135280574202967,-0.09876868792261127,-0.9951103898738416,0
0.2134549347754063,0.01699558696142287,0.9768050679863735,0
0.19066655329616763,0.05382318561999581,0.9801782134611415,0
-0.19575019995889562,0.6643057052384715,-0.7213735434597455,-0.49502070380873153
-0.8535089194652811,0.06407846319150115,-0.5171232686199914,0
-0.8309555778124711,-0.2744594867500318,-0.48392645911879156,0
0.40009851050801565,0.12469160129167106,-0.9079499911650345,0
0.06369765951643842,0.4446331003686985,0.8934450258570176,0
-0.23092668963917426,0.09260220795812867,-0.9685544357926259,-0.03545186090832059
-0.052003929673296485,0.9985431971466293,0.014390091407721928,0
0.033576391366839,0.596426542989355,0.8019650894899029,0
-0.0058037479799666935,-0.16555683183872147,0.9861831736249156,0.16551578781626192
0.13902107499060556,0.24491248656749154,0.9595264533256938,0
0.2135610810782196,-0.604446579606076,-0.7674868057831469,0
-0.10938900037794119,-0.9604491146125204,0.2560694140977019,0.2394725454673215
-0.4546942505188413,0.8905124629467699,-0.015514247696449804,0
0.6721452754112205,0.6055142843486366,-0.42611404599254066,0
0.5467346608308237,0.6005082038351771,-0.5834990212269884,-0.04520281020262473
0.32636906874242755,0.8864314242760561,-0.3282111531074518,-0.17788067950616826
-0.004113378202852008,0.6659438457184957,0.7459905324261299,0
0.34290210325283926,0.7532629535851564,0.5612602518804851,0
-0.12038803710118551,-0.17333201482353672,0.9774777404934277,0.15569561339884586
-0.16449864928759705,0.06543370293800888,0.9842045645608318,0
-0.03021054546212102,0.4811942610703177,0.8760932633320907,0
0.20665956886783785,-0.26478273698341737,-0.9419033521497467,0
-0.12949466463804946,0.33540424818398556,-0.933131888925898,-0.30855584695979793
-0.4800956328456355,-0.7665872814248474,0.42644123074605556,0.08718464706439122
-0.0143884536286678,0.9998299138287738,-0.011537582733065158,-0.011328146994283195
0.9874989669680009,-0.12715125041270015,-0.09315766074573749,0
-0.30966880598790125,-0.30285148170859905,0.9013246976672357,0.17146375577616474
-0.037381371328310986,0.002804859137816975,-0.9992971359124532,-0.0014045411779899375
0.08493933601667694,0.25748817159709003,0.9625409864959692,0
-0.7608609133083855,0.6413077186535763,-0.09907108859235883,0
0.20473167365489114,0.5982992062513618,-0.774676062365075,-0.4635700328482345
0.3649889499704163,0.9103807175462186,0.19491027556166676,0
0.05737307424511189,-0.0017728353189187568,0.9983512344894441,0
-0.7876541299944614,0.5301408576270025,0.3139293592150538,0
0.8652113749913503,0.44925606274671676,0.22266177640290058,0
0.40733850383689746,-0.5098906992285347,-0.7576851708540652,0
-0.4483441049727653,-0.17744926785965978,0.876070385797991,0
0.19304265728602002,-0.7182112436271697,-0.6685111382733024,0
0.7616843819109986,0.2970683417636899,0.5758361769415252,0
-0.9317454564346028,-0.034428979535988044,-0.3614762091501793,0
-0.620912406511536,0.14566629469708836,-0.7702266640601805,0
0.3769108027687874,0.35158435425017615,0.8569286368202867,0
-0.17054331547901103,-0.06719150437583188,-0.9830566002449397,0
0.8250251022997835,-0.504363560899262,-0.2548548194801265,0
0.5787060654609476,-0.1317235015119011,0.8048280617300527,0
0.22242798156531418,0.09422831844137887,0.9703848808696941,0
-0.11721663262784393,-0.4161409161092414,-0.9017133685241393,0
-0.39646916419768646,0.8941835911308011,-0.20796131176931015,-0.026750935266872444
-0.880068885618999,-0.27920362935029625,-0.38408864852134805,0
0.5750220561120687,0.7141193563762546,0.39922823025609394,0
-0.09615919281123683,-0.04281992085190062,0.9944445002191566,0.03320052082410763
0.427466940861969,0.7855755114494808,0.4473735913987285,0
-0.2255975846179408,0.6232360510625383,-0.7487873893639797,-0.4518428605782304
-0.8213769495848898,0.4943991475333891,-0.28444575864104493,0
0.22143346774504336,0.41205950150595805,-0.8838405888965873,-0.32441159425229155
0.29965286973473565,-0.12791677960608042,-0.9454340035956751,0
-0.5463111446026879,0.35281203515715587,0.7596497884756941,0
-0.01676238225286008,-0.09896158762165964,0.9949500624235418,0.09864810235518817
-0.4041558787413805,-0.22167259095801498,0.8874228350097506,0.030956439961734583
-0.34878344187267046,-0.9371741309245175,-0.007399932521901409,0
-0.3163709604573031,0.9421395271118524,0.11082656194603636,0
-0.18958484299459494,-0.39055640962401644,0.9008458681751903,0.32783128255836774
0.00014359752230466396,-0.0077153576925419335,0.9999702258744646,0.007715336911340742
0.17048415983430784,0.047261701420092804,0.9842263371930605,0
0.14354404481346347,-0.0002901201615841642,0.9896438869759577,0
-0.049493858010690096,0.9986019912992691,-0.018558582713996002,-0.01606540128373124
-0.131942402314958,0.19668553633855557,0.9715482500970153,0
0.04889150208390937,-0.04592116959410303,-0.9977478976209816,0
-0.3586711727205271,-0.5196261927717345,0.7754634805358883,0.2667454280495598
0.7735312523871318,-0.45799252230022397,-0.43805507769854046,0
0.06098619550003664,-0.03313156382555618,0.9975885842555058,0.029290478091840988
0.6756636370655277,-0.07001781863956259,0.733877479297696,0
-0.1422250902315969,0.9704037656507766,0.19516289432012077,0
0.4659685725634233,-0.5485617058769464,0.6942285965217655,0.14976879339656451
-0.48415890069116424,-0.2898810753652835,-0.8255659398416277,0
0.018008066642393065,-0.532476379913081,-0.8462532802716118,0
0.6707016278342518,-0.4284126462507653,-0.605493130392824,0
-0.2231529570494121,0.14897592751590938,0.963332201673378,0
-0.28907365320861095,0.16587691793602774,0.9428262146953021,0
0.35955419419204215,0.8266799546762197,0.4328060003921326,0
-0.5507870171483678,0.5934774342572995,-0.5868715334450773,-0.03937756325287789
-0.5144246478736063,0.29018276832676054,0.8069456255698606,0
-0.23153584068055771,0.10403485085053113,-0.9672475920305282,-0.04585258881057186
0.2678886570164519,0.2572550382994802,0.9284694462993679,0
-0.1165750693504418,0.02149754552415438,-0.9929491974629803,-0.007704277956865069
-0.24061212929719988,0.6804915095423578,-0.6921250672211133,-0.44562585927441856
0.14393978010935574,0.024843378223016712,0.9892745555509544,0
0.7689977160609416,-0.4451518013491128,0.4587835943543487,0
0.22658653050385255,0.7374818617190417,-0.6362224829646017,-0.45467805394744276
-0.911463127488307,-0.09063661809175247,-0.4012729378990363,0
-0.3231977383200693,0.13500158131035617,0.9366524408704091,0
0.16351211244211394,0.17978143027077478,0.9700218690393078,0
0.4229757002733325,0.7644643535266261,0.48650365791574646,0
-0.4828805997356585,0.8729940392077624,0.06861292813053982,0
0.40398255298845537,-0.8317915892371271,0.3806847106928569,0.14355439502371586
-0.027686966513531353,0.1943636605136546,-0.9805387291468968,-0.19338980652910986
0.9433528562341632,-0.024746132107970446,-0.3308670693504283,0
0.4885202786595877,-0.5583368854580945,0.6705280454054949,0.12270207512199599
-0.2366464918897293,-0.9659841064830216,-0.1042743683677,0
-0.9017766303397659,-0.36000335042047554,0.23915789064776782,0
-0.3050904483773163,0.8214091588341682,-0.4818784204467681,-0.30250132263230656
-0.1387112306780233,0.34114690638412193,0.929719303203032,0
0.634125098750331,0.7403621251624851,-0.2230454724036594,0
0.4588175103550055,0.1963320617043675,-0.8665680664197977,0
0.01575254009315748,-0.04018409557946213,0.99906811376556,0.03992538276085317
0.03461195355020804,-0.1463422280231592,0.9886283249880391,0.14492231715676485
-0.7611136781107805,-0.5737270080131136,-0.30256121573823685,0
0.3279672627352359,0.4338334217684218,0.8391817662048308,0
-0.01388800324616135,0.0075967727139574235,0.9998746983548324,0
0.29433177490359913,0.3710108545510182,-0.8807495399302916,-0.23653513747881538
0.04879351642256331,-0.09081411341843,-0.9946717999215348,0
0.5394126547847558,0.8031372797960494,-0.2529911019381198,0
-0.12358539419061106,-0.5924240926772538,0.7960906636547648,0.5341219114801964
0.17775204067091765,0.8452566186843764,0.5039300155850802,0
0.004468274742096241,-0.024537415772141982,0.999688926490663,0.024516941969071615
0.9128338626094862,-0.4042355488888044,-0.05768847621503649,0
0.24977463508616538,-0.9635449357213133,-0.09588424538673275,0
0.22321381878050847,-0.15324000964768017,-0.9626489965447433,0
0.29632374927447247,0.3821980493786976,0.875281032964292,0
0.1710951466362608,0.0952191889627515,-0.9806425224569819,-0.06330766930143561
0.425021564514005,0.30319805178567627,0.8528936692762105,0
