Epoch 57/200, Training Loss: 0.11360707805169845, Validation Loss: 0.11571732787088083, Validation Accuracy: 0.950286
Epoch 58/200, Training Loss: 0.11358168851511359, Validation Loss: 0.11588000641844143, Validation Accuracy: 0.950174
Epoch 59/200, Training Loss: 0.113478929217583, Validation Loss: 0.11635961826331319, Validation Accuracy: 0.94995
Epoch 60/200, Training Loss: 0.11340207732893418, Validation Loss: 0.1157450213457068, Validation Accuracy: 0.95022
Epoch 61/200, Training Loss: 0.11334376452954859, Validation Loss: 0.1153983938427398, Validation Accuracy: 0.950421
Epoch 62/200, Training Loss: 0.11327079419474394, Validation Loss: 0.11439440946895094, Validation Accuracy: 0.95076
Epoch 63/200, Training Loss: 0.11324414294087247, Validation Loss: 0.11449578751961643, Validation Accuracy: 0.950717
Epoch 64/200, Training Loss: 0.1131889679430432, Validation Loss: 0.11419155293950639, Validation Accuracy: 0.95092
Epoch 65/200, Training Loss: 0.11314915261508475, Validation Loss: 0.11437999790373701, Validation Accuracy: 0.950868
Epoch 66/200, Training Loss: 0.11304870874240565, Validation Loss: 0.11419290868333354, Validation Accuracy: 0.950983
Epoch 67/200, Training Loss: 0.11301126074174354, Validation Loss: 0.1146945935278274, Validation Accuracy: 0.950858
Epoch 68/200, Training Loss: 0.11304572010873011, Validation Loss: 0.11308104656755734, Validation Accuracy: 0.951489
Epoch 69/200, Training Loss: 0.11297536882119293, Validation Loss: 0.11431186860457015, Validation Accuracy: 0.951
Epoch 70/200, Training Loss: 0.11294752759597414, Validation Loss: 0.1145354810471352, Validation Accuracy: 0.950951
Epoch 71/200, Training Loss: 0.11290954126503983, Validation Loss: 0.11321515054367602, Validation Accuracy: 0.951618
Epoch 72/200, Training Loss: 0.11289482297282434, Validation Loss: 0.11451957598566628, Validation Accuracy: 0.95098
Epoch 73/200, Training Loss: 0.11288695955113334, Validation Loss: 0.11433490801352662, Validation Accuracy: 0.95103
Epoch 74/200, Training Loss: 0.11281871069666333, Validation Loss: 0.1134536062566617, Validation Accuracy: 0.951275
Epoch 75/200, Training Loss: 0.11282574598883718, Validation Loss: 0.11390545269170889, Validation Accuracy: 0.95113
Epoch 76/200, Training Loss: 0.11279229390432603, Validation Loss: 0.1147666783473743, Validation Accuracy: 0.95077
Epoch 77/200, Training Loss: 0.11270251810561284, Validation Loss: 0.11396405184135651, Validation Accuracy: 0.951082
Epoch 78/200, Training Loss: 0.11269968608510142, Validation Loss: 0.11422548733485012, Validation Accuracy: 0.951158
Epoch 79/200, Training Loss: 0.11266277128962321, Validation Loss: 0.11429160378706722, Validation Accuracy: 0.950935
Epoch 80/200, Training Loss: 0.112646208037124, Validation Loss: 0.11289892547998946, Validation Accuracy: 0.951597
Epoch 81/200, Training Loss: 0.1126194756214533, Validation Loss: 0.11367417952884881, Validation Accuracy: 0.951136
Epoch 82/200, Training Loss: 0.11257094018746643, Validation Loss: 0.11384651257683294, Validation Accuracy: 0.951186
Epoch 83/200, Training Loss: 0.11255355772071998, Validation Loss: 0.11407870594590616, Validation Accuracy: 0.951151
Epoch 84/200, Training Loss: 0.11246937786954347, Validation Loss: 0.11401546917879543, Validation Accuracy: 0.951124
Epoch 85/200, Training Loss: 0.1125191175085855, Validation Loss: 0.11362129745011132, Validation Accuracy: 0.951281
Epoch 86/200, Training Loss: 0.11245437722866365, Validation Loss: 0.11342146192876676, Validation Accuracy: 0.951289
Epoch 87/200, Training Loss: 0.11244250616800984, Validation Loss: 0.11284618562878893, Validation Accuracy: 0.951744
Epoch 88/200, Training Loss: 0.11238391590402341, Validation Loss: 0.11361621786801579, Validation Accuracy: 0.951315
Epoch 89/200, Training Loss: 0.11236893424583506, Validation Loss: 0.11367427614835886, Validation Accuracy: 0.951282
Epoch 90/200, Training Loss: 0.11240161675926717, Validation Loss: 0.11302677277749339, Validation Accuracy: 0.951654
Epoch 91/200, Training Loss: 0.11231095502480806, Validation Loss: 0.11264673072975664, Validation Accuracy: 0.951852
Epoch 92/200, Training Loss: 0.11231558922237236, Validation Loss: 0.11325299544646718, Validation Accuracy: 0.951658
Epoch 93/200, Training Loss: 0.11225938439432769, Validation Loss: 0.11273366688920286, Validation Accuracy: 0.95176
Epoch 94/200, Training Loss: 0.11225188017908551, Validation Loss: 0.11352305190441327, Validation Accuracy: 0.951465
Epoch 95/200, Training Loss: 0.11227379197375952, Validation Loss: 0.11261110043468567, Validation Accuracy: 0.951896
Epoch 96/200, Training Loss: 0.11220442114342924, Validation Loss: 0.11361540008943302, Validation Accuracy: 0.951475
Epoch 97/200, Training Loss: 0.11217284967498427, Validation Loss: 0.11255855229906381, Validation Accuracy: 0.952051
Epoch 98/200, Training Loss: 0.11216916228385315, Validation Loss: 0.11296571557895063, Validation Accuracy: 0.951579
Epoch 99/200, Training Loss: 0.11213283834087014, Validation Loss: 0.11270930668035635, Validation Accuracy: 0.95179
Epoch 100/200, Training Loss: 0.11211397289604721, Validation Loss: 0.11293022967755985, Validation Accuracy: 0.951811
Epoch 101/200, Training Loss: 0.11211780262160802, Validation Loss: 0.11155772142516919, Validation Accuracy: 0.952295
Epoch 102/200, Training Loss: 0.11206721484533969, Validation Loss: 0.1125793059270222, Validation Accuracy: 0.951788
Epoch 103/200, Training Loss: 0.11206388726454378, Validation Loss: 0.11194482586159112, Validation Accuracy: 0.952174
Epoch 104/200, Training Loss: 0.11205370733471388, Validation Loss: 0.11275819324837706, Validation Accuracy: 0.951924
Epoch 105/200, Training Loss: 0.11202228895411388, Validation Loss: 0.11199567021843725, Validation Accuracy: 0.952321
Epoch 106/200, Training Loss: 0.11201983299854595, Validation Loss: 0.1122439976650686, Validation Accuracy: 0.952113
Epoch 107/200, Training Loss: 0.112013875217125, Validation Loss: 0.11175097875035228, Validation Accuracy: 0.95227
Epoch 108/200, Training Loss: 0.11194933023087884, Validation Loss: 0.11220854718369036, Validation Accuracy: 0.952163
Epoch 109/200, Training Loss: 0.11195116302603045, Validation Loss: 0.1127209057585119, Validation Accuracy: 0.951939
Epoch 110/200, Training Loss: 0.11190877437665714, Validation Loss: 0.11344359141473953, Validation Accuracy: 0.951638
Epoch 111/200, Training Loss: 0.11189944875799715, Validation Loss: 0.11291159917942632, Validation Accuracy: 0.951931
Epoch 112/200, Training Loss: 0.11189234833349929, Validation Loss: 0.1126289028472032, Validation Accuracy: 0.952085
Epoch 113/200, Training Loss: 0.11190250885950642, Validation Loss: 0.11230806063729734, Validation Accuracy: 0.951911
Epoch 114/200, Training Loss: 0.11189365400735737, Validation Loss: 0.1113988099435267, Validation Accuracy: 0.952348
Epoch 115/200, Training Loss: 0.1118715606097475, Validation Loss: 0.11333853684770413, Validation Accuracy: 0.951639
Epoch 116/200, Training Loss: 0.11186692719087879, Validation Loss: 0.11235423148059236, Validation Accuracy: 0.951959
Epoch 117/200, Training Loss: 0.11185816727337615, Validation Loss: 0.11274278756623832, Validation Accuracy: 0.95185
Epoch 118/200, Training Loss: 0.11185271241541567, Validation Loss: 0.11221105926714767, Validation Accuracy: 0.952093
Epoch 119/200, Training Loss: 0.11179739229680379, Validation Loss: 0.11171486964241004, Validation Accuracy: 0.952234
Epoch 120/200, Training Loss: 0.11179149397435326, Validation Loss: 0.11220191038264253, Validation Accuracy: 0.952154
Epoch 121/200, Training Loss: 0.11181936910726234, Validation Loss: 0.11213967080314319, Validation Accuracy: 0.952187
Epoch 122/200, Training Loss: 0.11181078442010513, Validation Loss: 0.1125073783551923, Validation Accuracy: 0.951923
Epoch 123/200, Training Loss: 0.1117632447815094, Validation Loss: 0.11147143432317069, Validation Accuracy: 0.95238
Epoch 124/200, Training Loss: 0.11170594480287295, Validation Loss: 0.11233997759156333, Validation Accuracy: 0.951993
Epoch 125/200, Training Loss: 0.11171888196930273, Validation Loss: 0.112462906910779, Validation Accuracy: 0.95207
Epoch 126/200, Training Loss: 0.11175214662655282, Validation Loss: 0.11133997361309612, Validation Accuracy: 0.952606
Epoch 127/200, Training Loss: 0.11167257676186444, Validation Loss: 0.11263758082168933, Validation Accuracy: 0.951869
Epoch 128/200, Training Loss: 0.11170230056048287, Validation Loss: 0.11247107948358066, Validation Accuracy: 0.951925
Epoch 129/200, Training Loss: 0.11168450463286422, Validation Loss: 0.11308075009157863, Validation Accuracy: 0.951618
Epoch 130/200, Training Loss: 0.1117087005297569, Validation Loss: 0.11168675776868582, Validation Accuracy: 0.952319
Epoch 131/200, Training Loss: 0.11162511982656738, Validation Loss: 0.11166833181636401, Validation Accuracy: 0.95234
Epoch 132/200, Training Loss: 0.11167509426881612, Validation Loss: 0.11230454515344418, Validation Accuracy: 0.95207
Epoch 133/200, Training Loss: 0.111639087088075, Validation Loss: 0.11166067502369134, Validation Accuracy: 0.952254
Epoch 134/200, Training Loss: 0.11161452055327035, Validation Loss: 0.11309664398907854, Validation Accuracy: 0.951582
Epoch 135/200, Training Loss: 0.11154981103712157, Validation Loss: 0.11196533350137094, Validation Accuracy: 0.952102
Epoch 136/200, Training Loss: 0.11159149267592551, Validation Loss: 0.11220670372438125, Validation Accuracy: 0.951956
Epoch 137/200, Training Loss: 0.11162226954908758, Validation Loss: 0.1118326995509882, Validation Accuracy: 0.952213
